dataset,class,class_label,unit,geometry,mentions,docs,split,family,cls,as_named,aliases
census,admin_linked,named area,point,yes — coordinates or a layer exists,52,40,True,"satellite / raster / index, household or phone survey, official statistics series, registry / administrative database, facility / asset / infrastructure records, mapped layer / geospatial product","{""non_spatial"": 13, ""admin_linked"": 28, ""point_geocoded"": 1, ""unclear"": 10}",2019 census,
human capital index,non_spatial,no place,—,no — aggregate,39,39,True,"household or phone survey, official statistics series, facility / asset / infrastructure records","{""non_spatial"": 32, ""admin_linked"": 7}",2023 Human Capital Index,
world development indicators,non_spatial,no place,—,no — aggregate,39,32,True,"official statistics series, registry / administrative database","{""non_spatial"": 31, ""admin_linked"": 8}",World Development Indicators,
household survey,unclear,place not stated,—,yes — coordinates or a layer exists,37,33,True,"satellite / raster / index, household or phone survey, official statistics series, registry / administrative database, monitoring / tracking system, facility / asset / infrastructure records","{""unclear"": 19, ""non_spatial"": 12, ""admin_linked"": 6}",Household Survey,
service delivery indicator (survey),unclear,place not stated,—,maybe — needs the survey's own geography,35,32,True,"household or phone survey, registry / administrative database, facility / asset / infrastructure records","{""unclear"": 17, ""non_spatial"": 11, ""admin_linked"": 7}",Service Delivery Indicator (survey),survey data
dhis2,unclear,place not stated,—,maybe — needs the survey's own geography,33,12,True,"household or phone survey, official statistics series","{""unclear"": 23, ""admin_linked"": 10}",DHIS2,
population census,unclear,place not stated,—,yes — coordinates or a layer exists,31,18,True,"satellite / raster / index, household or phone survey, official statistics series, registry / administrative database, facility / asset / infrastructure records","{""admin_linked"": 14, ""national_spatial_derived"": 1, ""unclear"": 16}",2002 population census data,
social registry,admin_linked,named area,point,yes — coordinates or a layer exists,31,16,True,"household or phone survey, official statistics series, registry / administrative database, monitoring / tracking system","{""unclear"": 3, ""admin_linked"": 27, ""non_spatial"": 1}",The Social Registry,
human development index,non_spatial,no place,—,no — aggregate,26,26,True,registry / administrative database,"{""non_spatial"": 23, ""admin_linked"": 3}",Human Development Index,
emis,admin_linked,named area,point,maybe — needs the survey's own geography,22,13,True,"household or phone survey, official statistics series, registry / administrative database, facility / asset / infrastructure records","{""admin_linked"": 16, ""non_spatial"": 1, ""unclear"": 5}",EMIS,
population and housing census,admin_linked,named area,province / region / state,no — aggregate,21,15,True,"household or phone survey, official statistics series, facility / asset / infrastructure records","{""admin_linked"": 15, ""unclear"": 6}",Population and Housing Census 2011,
demographic and health survey (dhs),non_spatial,no place,—,no — aggregate,20,14,True,"household or phone survey, facility / asset / infrastructure records","{""non_spatial"": 10, ""admin_linked"": 5, ""unclear"": 5}",Demographic and Health Survey (DHS) 2016-2017,DHS 2016
housing and population census,unclear,place not stated,—,maybe — needs the survey's own geography,19,2,True,"household or phone survey, official statistics series","{""non_spatial"": 1, ""admin_linked"": 7, ""unclear"": 11}",Housing and Population Census,
beneficiary surveys,unclear,place not stated,—,no — aggregate,18,15,True,"household or phone survey, registry / administrative database, monitoring / tracking system, facility / asset / infrastructure records","{""admin_linked"": 5, ""unclear"": 13}",beneficiary surveys,
gender inequality index,non_spatial,no place,—,no — aggregate,17,16,True,"official statistics series, facility / asset / infrastructure records","{""non_spatial"": 14, ""admin_linked"": 3}",2018 Gender Inequality Index,
uganda national household survey,non_spatial,no place,—,maybe — needs the survey's own geography,17,13,True,household or phone survey,"{""non_spatial"": 12, ""admin_linked"": 5}",Uganda National Household Survey,
